Track,Engine,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,CheckPoint1,CheckPoint2,CheckPoint3,CheckPoint2_66
ComplexTrack,Bayes,28.03,67.82,4.26,15.57,10.99,20.42,24.25,0
ComplexTrack,Gauss,29.2,68.44,4.64,11.92,10.92,21.6,25.49,0
ComplexTrack,Gauss,28.19,74.42,4.73,12.34,10.61,19.66,24.56,0
ComplexTrack,Gauss,28.34,69.53,4.66,17.42,10.71,20,24.1,0
ComplexTrack,Gauss,26.84,73.42,4.71,12.46,10.75,18.85,22.37,0
ComplexTrack,Nightingale,28.61,75.28,5.49,16.54,12.29,21.54,25.33,0
ComplexTrack,Bayes,29.29,65.63,4.24,16.79,10.74,20.24,24.02,0
OvalTrack,Gauss,24.97,78.05,4.66,11.37,9.65,14.82,21.89,1
ComplexTrack,Bayes,28.64,64.88,4.25,15.39,9.78,18.02,20.18,1
ComplexTrack,Bayes,27.39,66.97,4.24,15.18,10.66,19.84,23.64,0
ComplexTrack,Gauss,26.86,78.02,4.73,13.42,11.21,20.04,23.51,0
ComplexTrack,Gauss,30.48,71.15,4.66,13.67,10.74,19.19,24.52,1
OvalTrack,Bayes,24.8,66.39,4.66,14.06,10.25,16.08,22.5,1
StraightTrack,Gauss,17.51,77.08,4.65,12.71,8.26,12.19,15.27,0
OvalTrack,Bayes,23.22,69.83,4.26,13.64,9.78,15.53,21.21,0
OvalTrack,Gauss,28.03,66.62,6.1,15.56,11.66,17.64,25.35,1
OvalTrack,Bayes,23.32,69.85,4.27,13.66,6.95,10.25,12.88,1
OvalTrack,Gauss,28.4,75.43,4.66,11.42,10,15.29,25.94,1
ComplexTrack,Gauss,27.94,69.09,4.65,12.65,10.83,19.64,23.66,0
StraightTrack,Bayes,17.55,65.05,4.25,13.36,7.45,11.31,14.91,1
OvalTrack,Gauss,26.93,74.6,4.64,11.39,9.94,17.76,25,1
StraightTrack,Gauss,17.31,67.58,4.64,11.46,7.73,11.43,14.73,0
ComplexTrack,Nightingale,28.42,74.83,5.41,17.72,11.54,22.27,26.44,0
StraightTrack,Nightingale,18.13,69.04,5.41,14.33,8.27,12.32,15.63,0
ComplexTrack,Gauss,27.38,78.4,4.69,15.13,10.75,20.26,23.59,0
OvalTrack,Nightingale,24.26,75.85,5.79,14.92,10.91,16.77,22.37,0
ComplexTrack,Nightingale,27.57,73.02,5.46,15.81,11.57,20.45,23.92,0
ComplexTrack,Nightingale,27.26,75.48,5.45,15.88,11.58,20.51,24.13,0
StraightTrack,Nightingale,18.16,69.12,5.41,14.36,8.3,12.31,15.65,0
StraightTrack,Bayes,17.46,65.9,4.25,13.83,7.58,11.51,14.86,1
OvalTrack,Bayes,23.61,69.75,4.24,13.61,9.88,15.69,21.55,0
StraightTrack,Nightingale,18.12,69.2,5.43,14.3,8.28,12.3,15.61,0
StraightTrack,Nightingale,18.12,69.4,5.41,14.3,8.27,12.27,15.6,0
StraightTrack,Nightingale,18.12,68.85,5.42,14.28,8.27,12.28,15.62,0
OvalTrack,Gauss,28.21,70.11,8.67,15.42,13.32,18.72,25.56,0
OvalTrack,Gauss,28.19,75.58,4.68,20.25,10.95,19.37,25.39,0
OvalTrack,Nightingale,24.52,70.18,5.41,14.73,10.39,16.48,22.29,0
StraightTrack,Nightingale,18.12,69.34,5.44,14.32,8.28,12.3,15.62,0
OvalTrack,Bayes,23.19,69.93,4.25,13.56,9.69,15.34,21.18,0
StraightTrack,Bayes,17.22,66.27,4.26,13.42,7.46,11.34,14.64,1
ComplexTrack,Gauss,26.96,72.82,4.66,11.99,10.79,19.23,23.04,0
OvalTrack,Nightingale,24.21,76.38,5.44,14.54,10.64,16.54,22.33,0
OvalTrack,Nightingale,27.36,68.58,5.43,14.59,14.53,15.79,24.56,1
ComplexTrack,Bayes,30.65,64.95,4.29,16.49,11.17,20.74,24.87,0
StraightTrack,Nightingale,18.12,69.1,5.41,14.29,8.28,12.3,15.62,0
ComplexTrack,Bayes,28.63,65.3,4.28,17.26,9.8,17.24,23.26,1
OvalTrack,Gauss,29.53,71.18,4.65,13.26,10.46,16.09,26.44,1
ComplexTrack,Gauss,30.58,67.07,4.74,12.64,10.73,19.54,25.36,1
ComplexTrack,Bayes,28.61,65.97,4.28,15.74,10.99,20.67,24.72,0
OvalTrack,Nightingale,24.74,74.17,5.39,15.1,10.99,17.2,22.8,0
OvalTrack,Gauss,24.17,73.57,4.67,13.58,9.71,15.61,21.93,1
ComplexTrack,Gauss,28.03,77.67,4.69,12.06,11.41,21.25,24.82,0
ComplexTrack,Bayes,28.86,67.47,4.26,15.86,11.45,20.89,24.93,0
OvalTrack,Gauss,25.35,74.35,4.64,11.41,9.68,15,22.43,1
OvalTrack,Bayes,22.79,69.76,4.23,13.56,9.44,15.16,20.76,0
StraightTrack,Bayes,17.23,66.05,4.25,13.38,7.44,11.32,14.65,1
OvalTrack,Nightingale,26.9,73.55,7.2,17.09,12.75,18.79,24.95,0
StraightTrack,Bayes,17.27,66.16,4.31,13.44,7.52,11.38,14.7,1
ComplexTrack,Nightingale,27.88,74.67,5.48,16.63,11.89,20.84,24.4,0
ComplexTrack,Nightingale,28.44,65.61,5.45,15.79,11.45,20.38,24.53,0
OvalTrack,Gauss,31.13,68.14,3.75,29.67,12.94,19.88,28.86,1
OvalTrack,Bayes,23.41,69.64,4.63,14,9.91,15.61,21.38,0
ComplexTrack,Gauss,28.38,69.69,4.69,16.15,10.62,20.2,24.61,0
OvalTrack,Bayes,23.62,70.03,4.27,13.63,9.72,15.61,21.61,0
OvalTrack,Nightingale,23.71,75.7,5.49,14.58,10.41,16.23,21.82,0
OvalTrack,Nightingale,24.29,76.35,5.38,14.56,10.77,16.68,22.43,0
OvalTrack,Bayes,23.22,69.58,4.26,13.64,9.52,15.3,21.17,1
StraightTrack,Bayes,17.68,65.49,4.26,14.46,7.62,11.7,15.08,0
OvalTrack,Nightingale,23.96,76.14,5.43,14.49,9.6,15.32,21.17,1
OvalTrack,Bayes,30.61,68.88,4.27,13.59,6.98,10.3,12.97,1
StraightTrack,Bayes,17.22,66.13,4.26,13.41,7.45,11.33,14.63,1
StraightTrack,Gauss,17.38,77.21,5.78,12.44,8.13,12.06,15.1,0
ComplexTrack,Nightingale,27.61,75.59,5.46,16.1,11.71,20.77,24.42,0
StraightTrack,Bayes,17.55,66.29,4.6,13.72,7.8,11.68,14.98,0
ComplexTrack,Gauss,30.38,70.77,4.66,12.54,10.64,20.77,26.45,0
ComplexTrack,Gauss,26.95,76.98,3.9,12.96,14.97,16.29,23.37,1
ComplexTrack,Bayes,27.06,67.59,4.28,18.36,10.48,19.8,23.62,0
StraightTrack,Bayes,17.22,66.12,4.24,13.38,7.47,11.33,14.63,1
OvalTrack,Nightingale,28.88,71.74,5.43,14.61,10.71,16.53,24.66,1
ComplexTrack,Gauss,30.39,76.36,4.64,12.04,11.33,19.59,23.33,1
StraightTrack,Bayes,17.31,65.99,4.27,13.73,7.47,11.34,14.69,1
OvalTrack,Nightingale,23.93,76.01,5.4,14.57,8.64,12.67,16.02,1
